,name1,name,liked,difficulty,passed,submitted,url
0,1001. 网格照明,Grid Illumination,11,困难,640,"2,357",https://leetcode-cn.com/problems/grid-illumination
1,1002. 查找常用字符,Find Common Characters,43,简单,"7,939","12,150",https://leetcode-cn.com/problems/find-common-characters
2,1003. 检查替换后的词是否有效,Check If Word Is Valid After Substitutions,17,中等,"3,065","5,591",https://leetcode-cn.com/problems/check-if-word-is-valid-after-substitutions
3,1004. 最大连续1的个数 III,Max Consecutive Ones Iii,30,中等,"2,928","6,375",https://leetcode-cn.com/problems/max-consecutive-ones-iii
4,1005. K 次取反后最大化的数组和,Maximize Sum Of Array After K Negations,23,简单,"4,968","9,965",https://leetcode-cn.com/problems/maximize-sum-of-array-after-k-negations
5,1006. 笨阶乘,Clumsy Factorial,9,中等,"2,149","4,331",https://leetcode-cn.com/problems/clumsy-factorial
6,1007. 行相等的最少多米诺旋转,Minimum Domino Rotations For Equal Row,10,中等,"1,619","3,849",https://leetcode-cn.com/problems/minimum-domino-rotations-for-equal-row
7,1008. 先序遍历构造二叉树,Construct Binary Search Tree From Preorder Traversal,37,中等,"3,685","5,192",https://leetcode-cn.com/problems/construct-binary-search-tree-from-preorder-traversal
8,1009. 十进制整数的反码,Complement Of Base 10 Integer,17,简单,"4,860","8,371",https://leetcode-cn.com/problems/complement-of-base-10-integer
9,1010. 总持续时间可被 60 整除的歌曲,Pairs Of Songs With Total Durations Divisible By 60,42,简单,"5,549","13,099",https://leetcode-cn.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
10,1011. 在 D 天内送达包裹的能力,Capacity To Ship Packages Within D Days,38,中等,"2,647","5,353",https://leetcode-cn.com/problems/capacity-to-ship-packages-within-d-days
11,1012. 至少有 1 位重复的数字,Numbers With Repeated Digits,35,困难,874,"3,389",https://leetcode-cn.com/problems/numbers-with-repeated-digits
12,1013. 将数组分成和相等的三个部分,Partition Array Into Three Parts With Equal Sum,15,简单,"5,379","10,215",https://leetcode-cn.com/problems/partition-array-into-three-parts-with-equal-sum
13,1014. 最佳观光组合,Best Sightseeing Pair,33,中等,"2,560","5,582",https://leetcode-cn.com/problems/best-sightseeing-pair
14,1015. 可被 K 整除的最小整数,Smallest Integer Divisible By K,12,中等,"1,571","5,727",https://leetcode-cn.com/problems/smallest-integer-divisible-by-k
15,1016. 子串能表示从 1 到 N 数字的二进制串,Binary String With Substrings Representing 1 To N,8,中等,"1,541","2,757",https://leetcode-cn.com/problems/binary-string-with-substrings-representing-1-to-n
16,1017. 负二进制转换,Convert To Base 2,10,中等,"1,278","2,508",https://leetcode-cn.com/problems/convert-to-base-2
17,1018. 可被 5 整除的二进制前缀,Binary Prefix Divisible By 5,25,简单,"5,093","11,752",https://leetcode-cn.com/problems/binary-prefix-divisible-by-5
18,1019. 链表中的下一个更大节点,Next Greater Node In Linked List,38,中等,"3,940","8,172",https://leetcode-cn.com/problems/next-greater-node-in-linked-list
19,1020. 飞地的数量,Number Of Enclaves,13,中等,"1,840","3,857",https://leetcode-cn.com/problems/number-of-enclaves
20,1021. 删除最外层的括号,Remove Outermost Parentheses,74,简单,"17,057","22,666",https://leetcode-cn.com/problems/remove-outermost-parentheses
21,1022. 从根到叶的二进制数之和,Sum Of Root To Leaf Binary Numbers,26,简单,"3,331","6,279",https://leetcode-cn.com/problems/sum-of-root-to-leaf-binary-numbers
22,1023. 驼峰式匹配,Camelcase Matching,10,中等,"1,646","3,205",https://leetcode-cn.com/problems/camelcase-matching
23,1024. 视频拼接,Video Stitching,26,中等,"1,906","4,234",https://leetcode-cn.com/problems/video-stitching
24,1025. 除数博弈,Divisor Game,65,简单,"12,527","18,174",https://leetcode-cn.com/problems/divisor-game
25,1026. 节点与其祖先之间的最大差值,Maximum Difference Between Node And Ancestor,17,中等,"1,982","3,607",https://leetcode-cn.com/problems/maximum-difference-between-node-and-ancestor
26,1027. 最长等差数列,Longest Arithmetic Sequence,25,中等,"2,891","7,639",https://leetcode-cn.com/problems/longest-arithmetic-sequence
27,1028. 从先序遍历还原二叉树,Recover A Tree From Preorder Traversal,25,困难,"1,130","1,925",https://leetcode-cn.com/problems/recover-a-tree-from-preorder-traversal
28,1029. 两地调度,Two City Scheduling,44,简单,"4,822","8,533",https://leetcode-cn.com/problems/two-city-scheduling
29,1030. 距离顺序排列矩阵单元格,Matrix Cells In Distance Order,15,简单,"3,800","6,275",https://leetcode-cn.com/problems/matrix-cells-in-distance-order
30,1031. 两个非重叠子数组的最大和,Maximum Sum Of Two Non Overlapping Subarrays,21,中等,"1,182","2,394",https://leetcode-cn.com/problems/maximum-sum-of-two-non-overlapping-subarrays
31,1032. 字符流,Stream Of Characters,14,困难,638,"2,363",https://leetcode-cn.com/problems/stream-of-characters
32,1033. 移动石子直到连续,Moving Stones Until Consecutive,7,简单,"3,081","8,552",https://leetcode-cn.com/problems/moving-stones-until-consecutive
33,1034. 边框着色,Coloring A Border,1,中等,965,"2,484",https://leetcode-cn.com/problems/coloring-a-border
34,1035. 不相交的线,Uncrossed Lines,22,中等,"1,184","2,452",https://leetcode-cn.com/problems/uncrossed-lines
35,1036. 逃离大迷宫,Escape A Large Maze,9,困难,627,"2,507",https://leetcode-cn.com/problems/escape-a-large-maze
36,1037. 有效的回旋镖,Valid Boomerang,8,简单,"2,911","7,508",https://leetcode-cn.com/problems/valid-boomerang
37,1038. 从二叉搜索树到更大和树,Binary Search Tree To Greater Sum Tree,23,中等,"4,364","6,154",https://leetcode-cn.com/problems/binary-search-tree-to-greater-sum-tree
38,1039. 多边形三角剖分的最低得分,Minimum Score Triangulation Of Polygon,18,中等,"1,159","2,498",https://leetcode-cn.com/problems/minimum-score-triangulation-of-polygon
39,1040. 移动石子直到连续 II,Moving Stones Until Consecutive Ii,23,中等,818,"1,886",https://leetcode-cn.com/problems/moving-stones-until-consecutive-ii
40,1041. 困于环中的机器人,Robot Bounded In Circle,20,中等,"2,551","6,108",https://leetcode-cn.com/problems/robot-bounded-in-circle
41,1042. 不邻接植花,Flower Planting With No Adjacent,26,简单,"2,662","5,837",https://leetcode-cn.com/problems/flower-planting-with-no-adjacent
42,1043. 分隔数组以得到最大和,Partition Array For Maximum Sum,22,中等,"1,202","1,954",https://leetcode-cn.com/problems/partition-array-for-maximum-sum
43,1044. 最长重复子串,Longest Duplicate Substring,15,困难,652,"4,509",https://leetcode-cn.com/problems/longest-duplicate-substring
44,1045. 买下所有产品的客户,Customers Who Bought All Products,3,中等,838,"1,415",https://leetcode-cn.com/problems/customers-who-bought-all-products
45,1047. 删除字符串中的所有相邻重复项,Remove All Adjacent Duplicates In String,33,简单,"9,205","14,215",https://leetcode-cn.com/problems/remove-all-adjacent-duplicates-in-string
46,1048. 最长字符串链,Longest String Chain,16,中等,"2,175","5,748",https://leetcode-cn.com/problems/longest-string-chain
47,1049. 最后一块石头的重量 II,Last Stone Weight Ii,34,中等,"1,470","3,808",https://leetcode-cn.com/problems/last-stone-weight-ii
48,1050. 合作过至少三次的演员和导演,Actors And Directors Who Cooperated At Least Three Times,5,简单,"1,314","1,811",https://leetcode-cn.com/problems/actors-and-directors-who-cooperated-at-least-three-times
49,1051. 高度检查器,Height Checker,36,简单,"9,684","13,524",https://leetcode-cn.com/problems/height-checker
50,1052. 爱生气的书店老板,Grumpy Bookstore Owner,14,中等,"2,695","6,034",https://leetcode-cn.com/problems/grumpy-bookstore-owner
51,1053. 交换一次的先前排列,Previous Permutation With One Swap,10,中等,"1,979","4,799",https://leetcode-cn.com/problems/previous-permutation-with-one-swap
52,1054. 距离相等的条形码,Distant Barcodes,18,中等,"2,129","7,028",https://leetcode-cn.com/problems/distant-barcodes
53,1055. 形成字符串的最短路径,Shortest Way To Form String,6,中等,447,945,https://leetcode-cn.com/problems/shortest-way-to-form-string
54,1056. 易混淆数,Confusing Number,2,简单,"1,465","4,507",https://leetcode-cn.com/problems/confusing-number
55,1057. 校园自行车分配,Campus Bikes,5,中等,760,"2,488",https://leetcode-cn.com/problems/campus-bikes
56,1058. 最小化舍入误差以满足目标,Minimize Rounding Error To Meet Target,5,中等,587,"2,222",https://leetcode-cn.com/problems/minimize-rounding-error-to-meet-target
57,1059. 从始点到终点的所有路径,All Paths From Source Lead To Destination,4,中等,472,"1,787",https://leetcode-cn.com/problems/all-paths-from-source-lead-to-destination
58,1060. 有序数组中的缺失元素,Missing Element In Sorted Array,4,中等,"1,152","2,534",https://leetcode-cn.com/problems/missing-element-in-sorted-array
59,1061. 按字典序排列最小的等效字符串,Lexicographically Smallest Equivalent String,1,中等,652,"1,404",https://leetcode-cn.com/problems/lexicographically-smallest-equivalent-string
60,1063. 有效子数组的数目,Number Of Valid Subarrays,4,困难,557,923,https://leetcode-cn.com/problems/number-of-valid-subarrays
61,1064. 不动点,Fixed Point,4,简单,"1,609","2,214",https://leetcode-cn.com/problems/fixed-point
62,1065. 字符串的索引对,Index Pairs Of A String,4,简单,570,"1,199",https://leetcode-cn.com/problems/index-pairs-of-a-string
63,1066. 校园自行车分配 II,Campus Bikes Ii,13,中等,375,"1,150",https://leetcode-cn.com/problems/campus-bikes-ii
64,1067. 范围内的数字计数,Digit Count In Range,4,困难,193,619,https://leetcode-cn.com/problems/digit-count-in-range
65,1068. 产品销售分析 I,Product Sales Analysis I,0,简单,"1,197","1,478",https://leetcode-cn.com/problems/product-sales-analysis-i
